epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
0,5.743261567840576,0.01475,5.498798,5.265793397064209,0.03784,5.0254083,0.60149,0.2400792,0.59463,0.24361522
1,4.932716665496826,0.06758,4.692084,4.838390144958496,0.08657,4.5984325,0.60149,0.23978242,0.60096,0.24015488
2,4.52264906867981,0.14298,4.28185,4.51310734451294,0.17207,4.2729545,0.60149,0.23980682,0.60096,0.24006338
3,4.041268728942871,0.2378,3.7998464,4.233426468353271,0.23014,3.9931452,0.60149,0.23980322,0.60096,0.24002014
4,3.62151519115448,0.2949,3.379656,4.1345550350952145,0.24162,3.894298,0.60149,0.23981062,0.60096,0.24000768
5,3.8886341177368164,0.26409,3.648789,3.7808503504943847,0.27726,3.5408027,0.60149,0.23974504,0.60079,0.2400437
6,3.5160631161499025,0.29936,3.2755332,3.7076161239624024,0.27831,3.4675837,0.60149,0.23974526,0.60079,0.2400447
7,3.240980718536377,0.33204,3.0001092,3.7340035163879395,0.27172,3.493923,0.60149,0.23974566,0.60079,0.2400412
8,3.0255992661285402,0.36315,2.7843642,3.7910621646881104,0.26488,3.5510247,0.60149,0.23974623,0.60079,0.24003853
9,2.849826119384766,0.39149,2.6083245,3.8925197285461426,0.25872,3.6524403,0.60149,0.23974119,0.60079,0.24005179
10,3.656705365982056,0.28271,3.417675,3.565286935119629,0.29518,3.3249397,0.60149,0.23983386,0.6064,0.23892003
11,3.3838499435424803,0.31239,3.1441703,3.542414594192505,0.29449,3.3021038,0.60149,0.23985308,0.6064,0.23890692
12,3.1668107041549685,0.33948,2.9265733,3.5925501482391358,0.28509,3.352104,0.60149,0.23986591,0.6064,0.23890382
13,2.9698713047409058,0.36835,2.7292106,3.729229762573242,0.27137,3.488792,0.60149,0.23987591,0.6064,0.23889752
14,2.799970884552002,0.39555,2.5592773,3.7816526943969726,0.27163,3.5412166,0.60149,0.23988543,0.6064,0.2388969
15,3.529913645477295,0.29201,3.2912943,3.433673405914307,0.30736,3.1933572,0.60149,0.23990963,0.6064,0.23881601
16,3.289139380645752,0.3201,3.0500124,3.4242524127197265,0.30335,3.1836665,0.60149,0.240118,0.6064,0.23883149
17,3.0886149954223634,0.34544,2.848972,3.448380419692993,0.30012,3.207905,0.60149,0.23989353,0.6064,0.2388245
18,2.9080054216384887,0.37293,2.6679382,3.503064360809326,0.29366,3.2625482,0.60149,0.23988524,0.6064,0.23882987
19,2.7435030027389526,0.40072,2.5032234,3.5897861988067628,0.2873,3.349327,0.60149,0.23987807,0.6064,0.23882216
20,3.4411095947265626,0.30056,3.2017124,3.3507800663757323,0.31017,3.1105032,0.60149,0.23968355,0.60331,0.23946205
21,3.216393590927124,0.32676,2.9764707,3.3361092167663573,0.30863,3.0958364,0.60149,0.23968321,0.60331,0.23946095
22,3.039263638343811,0.35083,2.798803,3.3587812773132324,0.30591,3.1184375,0.60149,0.23968324,0.60331,0.23944655
23,2.866023806838989,0.37821,2.6252673,3.430702877883911,0.29875,3.1902318,0.60149,0.23968357,0.60331,0.2394531
24,2.7055141651535033,0.40463,2.464546,3.512077271347046,0.29472,3.271573,0.60149,0.23968399,0.60331,0.23944381
25,3.3716670253753662,0.30622,3.1327357,3.296572074737549,0.31397,3.0561645,0.60149,0.23979037,0.60577,0.23898679
26,3.1627371086883547,0.33247,2.9232988,3.289286027908325,0.3104,3.0488625,0.60149,0.23978506,0.60577,0.23900132
27,2.9938269088745115,0.35557,2.7539403,3.317247210922241,0.30884,3.0768468,0.60149,0.23978849,0.60577,0.2389861
28,2.828143733596802,0.38171,2.5879989,3.385570908737183,0.302,3.1451151,0.60149,0.23978476,0.60577,0.23898712
29,2.676612274360657,0.40769,2.436246,3.4751602925109863,0.29647,3.2346504,0.60149,0.23977698,0.60577,0.23900723
