epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
0,6.466927119750976,0.00708,5.6921525,5.941364225769043,0.00806,5.6654634,0.60149,0.23968306,0.59878,0.24064371
1,5.704445376739502,0.01967,5.3673506,5.461585783538818,0.04204,5.0861325,0.60149,0.23968306,0.60096,0.2398307
2,5.201002654113769,0.04632,4.8366904,5.202883129425049,0.05284,4.842421,0.60149,0.23968309,0.60096,0.23983145
3,5.118232071990967,0.05296,4.763006,5.170496576690674,0.05556,4.8172927,0.60149,0.23968293,0.60096,0.23983173
4,5.0753881085205075,0.05667,4.720107,5.103260330963135,0.05741,4.746516,0.60149,0.23968302,0.60096,0.23983192
5,5.076099341583252,0.05768,4.722535,5.093759582672119,0.06493,4.7322564,0.60149,0.23968388,0.60079,0.23986912
6,5.03563344909668,0.06421,4.6827936,5.085342552490235,0.06817,4.7201095,0.60149,0.2396838,0.60079,0.23986861
7,5.013234934844971,0.06902,4.659751,5.076004366760254,0.0702,4.708782,0.60149,0.23968397,0.60079,0.23986842
8,4.997851409912109,0.07212,4.644702,5.049865307006836,0.07582,4.691328,0.60149,0.23968394,0.60079,0.23986818
9,4.984653262634278,0.07645,4.63257,5.010563647460938,0.07392,4.65527,0.60149,0.23968394,0.60079,0.23986787
10,5.018515349273682,0.07297,4.6720514,5.0421927931213375,0.07436,4.699621,0.60149,0.23996142,0.6064,0.23872481
11,4.993777382049561,0.07674,4.6476173,5.050088466949463,0.07716,4.704416,0.60149,0.23995335,0.6064,0.23873414
12,4.977502871398926,0.08066,4.629661,5.013276021118164,0.08244,4.665601,0.60149,0.23994806,0.6064,0.23873296
13,4.9709457914733886,0.08324,4.6219606,5.0221302201843265,0.07968,4.6721106,0.60149,0.23994389,0.6064,0.23873226
14,4.958624209747314,0.08579,4.6089053,5.087314585571289,0.0809,4.7382355,0.60149,0.23993948,0.6064,0.23873127
