epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
0,6.329556225585938,0.00684,5.6808867,6.0153915071105954,0.01113,5.717896,0.60149,0.24163389,0.59774,0.2427788
1,5.517975893707275,0.02729,5.161603,5.443445688323974,0.03271,5.086786,0.60149,0.24440394,0.60204,0.2405108
2,5.247994063720703,0.04546,4.8784122,5.2259740515136714,0.04811,4.85853,0.60149,0.24002433,0.60356,0.23959458
3,5.114809058990478,0.06056,4.7405944,5.188449853668213,0.05276,4.8070126,0.60149,0.23973139,0.60356,0.23939131
4,4.99641095413208,0.07643,4.614313,5.353234998474121,0.05361,4.9752483,0.60149,0.23970352,0.60356,0.23931162
5,4.934770743713379,0.0997,4.54594,4.947306380004883,0.15238,4.5356803,0.60149,0.23969205,0.60185,0.2396227
6,4.589866840057373,0.1932,4.1598473,4.557438841247558,0.21128,4.1235914,0.60149,0.23969242,0.60185,0.23962428
7,4.269474959335327,0.24194,3.8347933,4.411702430343628,0.2258,3.9770393,0.60149,0.23969226,0.60185,0.23962435
8,4.054264617996216,0.26478,3.6193354,4.3567544107818605,0.22997,3.9223914,0.60149,0.23969135,0.60185,0.23962414
9,3.90516418838501,0.27915,3.4677875,4.3150600442504885,0.23531,3.8771276,0.60149,0.23969042,0.60185,0.23962365
10,4.163052635879517,0.25265,3.7342522,4.160348567199707,0.25189,3.7383537,0.60149,0.23968299,0.60178,0.23961647
11,3.9832697287750243,0.27013,3.5568192,4.116744424972534,0.25691,3.6884062,0.60149,0.2396835,0.60178,0.2396165
12,3.854140072402954,0.2841,3.4220448,4.121477164077759,0.25352,3.6886725,0.60149,0.23968348,0.60178,0.2396162
13,3.751508705291748,0.29602,3.315519,4.145679727325439,0.25039,3.709375,0.60149,0.23968348,0.60178,0.23961619
14,3.6742226498413086,0.30607,3.2345152,4.187494138259888,0.2503,3.7445047,0.60149,0.23968348,0.60178,0.23961619
15,3.9988915100860596,0.26725,3.573901,4.025715249023437,0.26419,3.6082585,0.60149,0.2396831,0.6038,0.23926042
16,3.861926651763916,0.28126,3.442596,4.0559965530395505,0.25507,3.633538,0.60149,0.23968317,0.6038,0.23926008
17,3.7640089931488037,0.29271,3.3390813,4.053645049057007,0.25466,3.6262937,0.60149,0.23968327,0.6038,0.23926
18,3.6816027181243896,0.30291,3.2529023,4.079422081375122,0.25008,3.6494315,0.60149,0.23968323,0.6038,0.23925996
