epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
0,6.4811168403625485,0.00591,5.724372,6.137692972869873,0.00678,5.775671,0.60149,0.23979358,0.59833,0.24202943
1,5.6866978134155275,0.01939,5.3382854,5.573815200958252,0.03495,5.1982718,0.60149,0.23967798,0.60365,0.23940586
2,5.3079194590759275,0.03885,4.9269366,5.552070351409912,0.04247,5.184777,0.60149,0.23968393,0.60365,0.23929551
3,5.216192331695557,0.0445,4.8426194,5.308837029571533,0.04806,4.9446793,0.60149,0.23968363,0.60365,0.23928815
4,5.164648934783935,0.04778,4.791698,5.1826674374389645,0.04594,4.820523,0.60149,0.239684,0.60365,0.23928733
5,5.141164369812012,0.05084,4.7794533,5.168558609924316,0.04959,4.8149085,0.60149,0.23969446,0.60393,0.23919529
6,5.1023638537597655,0.05286,4.748226,5.35644255783081,0.04358,5.008,0.60149,0.2396942,0.60393,0.23919658
7,5.079209606170655,0.05481,4.7301292,5.289455834655762,0.04655,4.9448256,0.60149,0.23969427,0.60393,0.23919709
8,5.056562168426514,0.05727,4.710455,5.204099572906494,0.05132,4.859792,0.60149,0.23969421,0.60393,0.2391973
9,5.040812431793213,0.05883,4.6956434,5.120751732940674,0.05754,4.7770224,0.60149,0.23969421,0.60393,0.23919733
10,5.04938458694458,0.05861,4.7065215,5.130842668914795,0.066,4.78892,0.60149,0.23969351,0.60284,0.23946123
11,5.019677880859375,0.06327,4.6756415,5.054048067016602,0.07074,4.707236,0.60149,0.23969293,0.60284,0.23946054
12,5.002166001434326,0.06691,4.654167,5.04899398223877,0.07625,4.6983094,0.60149,0.23969279,0.60284,0.23945978
13,4.983381071777344,0.07122,4.6309943,5.015832221069336,0.07941,4.65894,0.60149,0.23969258,0.60284,0.23945946
14,4.9651764616394045,0.07674,4.607306,5.006645510864258,0.08608,4.6451707,0.60149,0.23969167,0.60284,0.23945895
15,4.976789081726074,0.08147,4.6175814,5.016176728057862,0.08024,4.656372,0.60149,0.23972887,0.60307,0.23940347
16,4.93978073348999,0.09347,4.5730076,4.992695418395996,0.09611,4.6209126,0.60149,0.23972729,0.60307,0.23940338
17,4.905036983947754,0.11009,4.5249867,4.971349555358887,0.11784,4.586289,0.60149,0.23972467,0.60307,0.23941265
18,4.86612162399292,0.13209,4.4730015,4.914801498565674,0.13815,4.5167937,0.60149,0.23972249,0.60307,0.2394025
19,4.825913116455078,0.15556,4.4192476,4.919976972808838,0.1558,4.5090337,0.60149,0.23971604,0.60307,0.23945525
20,4.844606777038575,0.16747,4.4337535,4.84349436416626,0.1826,4.4295697,0.60149,0.23968416,0.60507,0.23902258
21,4.786644112548828,0.18655,4.3672795,4.785328693695068,0.1992,4.3629937,0.60149,0.23968403,0.60507,0.23901571
22,4.748828886871338,0.19945,4.3225327,4.759416070404053,0.2043,4.3305354,0.60149,0.23968416,0.60507,0.2390158
23,4.718642279510498,0.20754,4.2875605,4.757202683563232,0.20928,4.326552,0.60149,0.2396842,0.60507,0.2390157
24,4.691604749908447,0.21355,4.259413,4.732835119476318,0.21371,4.3000045,0.60149,0.23968428,0.60507,0.23901556
25,4.7391911297607425,0.21436,4.312823,4.763957721252441,0.21122,4.336353,0.60149,0.23968323,0.60283,0.23946293
26,4.6989039733886715,0.22102,4.2726383,4.808487871246338,0.21034,4.379705,0.60149,0.23968321,0.60283,0.23946303
27,4.673490488586426,0.2262,4.245721,4.7519569073486325,0.2182,4.322853,0.60149,0.2396833,0.60283,0.23946287
28,4.657319089050293,0.22989,4.226116,4.814637805023193,0.22167,4.3817134,0.60149,0.23968346,0.60283,0.23946266
29,4.640926760253906,0.23282,4.2081122,4.8158330799865725,0.21475,4.382238,0.60149,0.23968342,0.60283,0.23946248
30,4.69942514038086,0.22702,4.270902,4.7623268290710445,0.2136,4.3381734,0.60149,0.23978409,0.6035,0.23929489
31,4.664379821014404,0.23099,4.23755,4.770278760986328,0.21735,4.3435307,0.60149,0.23978354,0.6035,0.2392839
32,4.646799455871582,0.23453,4.21735,4.710883878479004,0.22427,4.2817087,0.60149,0.23978078,0.6035,0.2393103
33,4.632772580871582,0.23665,4.2017183,4.771197134399414,0.22054,4.3419294,0.60149,0.23978065,0.6035,0.23928258
34,4.619972763977051,0.23805,4.187446,4.722394234008789,0.22789,4.2920847,0.60149,0.23978072,0.6035,0.23928265
35,4.685693087310791,0.2325,4.25901,4.96197995803833,0.19243,4.538425,0.60149,0.2396843,0.60223,0.2395763
36,4.653668243713379,0.23822,4.227245,4.8905461022949215,0.1998,4.464488,0.60149,0.2396843,0.60223,0.23957169
37,4.636174970092774,0.23988,4.2078147,4.840704312896729,0.20279,4.412586,0.60149,0.23968428,0.60223,0.23957157
38,4.62431612701416,0.24188,4.192913,4.733365974121094,0.22049,4.30179,0.60149,0.23968437,0.60223,0.23957151
39,4.613204268188476,0.24408,4.1796694,4.940148635406494,0.19601,4.506787,0.60149,0.23968466,0.60223,0.23957136
40,4.676259363708496,0.23586,4.247781,4.730751140747071,0.22514,4.3048215,0.60149,0.23969422,0.60519,0.23898147
41,4.645916262207031,0.23829,4.2180624,4.8281231773376465,0.2125,4.398661,0.60149,0.23969415,0.60519,0.23898081
42,4.632078652191162,0.23999,4.202154,4.711944196472168,0.23134,4.282693,0.60149,0.23969425,0.60519,0.23898076
43,4.620364913024902,0.24215,4.188675,4.701495443115235,0.23382,4.269927,0.60149,0.23969391,0.60519,0.23898059
44,4.609967196350097,0.24332,4.177011,5.608083205261231,0.17154,5.174995,0.60149,0.23969391,0.60519,0.2389804
45,4.661893231658936,0.23975,4.234756,4.875031078948974,0.21515,4.44999,0.60149,0.23975109,0.60437,0.23911539
46,4.632499324493408,0.24218,4.2039466,4.700663979187012,0.23948,4.2717404,0.60149,0.239751,0.60437,0.23912333
47,4.614630024719238,0.24474,4.1854334,4.698479263763428,0.23634,4.267615,0.60149,0.23975101,0.60437,0.23912302
48,4.604134561309815,0.24519,4.172855,4.764941500549316,0.23553,4.332588,0.60149,0.23975052,0.60437,0.23912308
49,4.59419179321289,0.24721,4.1610527,4.755928713531494,0.23308,4.3228483,0.60149,0.23975062,0.60437,0.23912299
0,4.657017780761719,0.24031,4.22936,4.686434362792968,0.2395,4.2608657,0.60149,0.23968466,0.60096,0.2398207
1,4.6267242193603515,0.24373,4.1978974,4.669759300689697,0.24075,4.239559,0.60149,0.23968469,0.60096,0.23981765
2,4.6149528225708005,0.24545,4.1835093,4.705136290588379,0.23829,4.275931,0.60149,0.23968434,0.60096,0.23981765
3,4.6027022129821775,0.24704,4.171505,4.694413321990967,0.23743,4.2636733,0.60149,0.23968455,0.60096,0.23981759
4,4.592885666351318,0.24771,4.1603193,4.669839608917236,0.23668,4.2369056,0.60149,0.23968488,0.60096,0.23981741
5,4.648548494262696,0.24028,4.2218347,4.722829965057373,0.24254,4.3000417,0.60149,0.23968355,0.60079,0.23984995
6,4.619312026519776,0.24423,4.1919465,4.7231212786865235,0.24563,4.2966137,0.60149,0.23968363,0.60079,0.23984958
7,4.607451553344727,0.24624,4.1780243,4.826971754455567,0.23641,4.397624,0.60149,0.23968343,0.60079,0.23984942
8,4.596085761413574,0.24739,4.1659184,4.862452716827392,0.23702,4.432459,0.60149,0.23968334,0.60079,0.2398492
9,4.587579517974853,0.2479,4.1567416,4.8260308061218264,0.23954,4.395422,0.60149,0.2396836,0.60079,0.2398491
10,4.649955263214111,0.24358,4.22545,4.711871731109619,0.23123,4.287563,0.60149,0.23984617,0.6064,0.23870672
11,4.624145183410644,0.2459,4.198866,4.683339214324951,0.2357,4.255064,0.60149,0.23983997,0.6064,0.23871626
12,4.610320328826904,0.24676,4.1844945,4.9593285929870605,0.20119,4.531991,0.60149,0.23983689,0.6064,0.2387157
13,4.600992287139893,0.24791,4.1737046,4.763805159454345,0.22391,4.335135,0.60149,0.23983474,0.6064,0.2387151
14,4.592203765563965,0.2482,4.1644,4.708673479919433,0.23428,4.2758713,0.60149,0.23983283,0.6064,0.23871498
15,4.647272044372559,0.24098,4.2240267,4.657003502044677,0.23646,4.2358747,0.60149,0.2396911,0.6064,0.23866788
16,4.6182691453552245,0.24481,4.1953835,4.664418242492676,0.23572,4.238876,0.60149,0.23969115,0.6064,0.23866689
17,4.607292323608398,0.24676,4.181953,4.68402355682373,0.23333,4.253649,0.60149,0.23969103,0.6064,0.23866671
18,4.599873208312988,0.24683,4.1729116,4.723181779327392,0.22726,4.294547,0.60149,0.23969112,0.6064,0.23866664
19,4.5903926715087895,0.24776,4.1624393,4.669190601654052,0.23818,4.240596,0.60149,0.23969112,0.6064,0.23866668
20,4.633530101165771,0.24471,4.209562,4.640100226593018,0.23939,4.217887,0.60149,0.23969905,0.60331,0.23932037
21,4.604150269622803,0.24684,4.1800523,4.681667740631103,0.23211,4.2580166,0.60149,0.23969936,0.60331,0.2393198
22,4.593076299438477,0.24835,4.16734,4.76672069519043,0.22716,4.3414865,0.60149,0.23969975,0.60331,0.23931934
23,4.583004184265136,0.24888,4.1560683,4.727444017639161,0.22829,4.3006406,0.60149,0.23969965,0.60331,0.23931903
24,4.5755478973388675,0.24993,4.14751,4.688429172210693,0.23198,4.260867,0.60149,0.23969987,0.60331,0.23931895
25,4.623206818237304,0.24605,4.198504,4.743451510620117,0.24776,4.3198647,0.60149,0.23969579,0.60577,0.23885167
26,4.594839844818115,0.24901,4.169897,4.65707887008667,0.24225,4.231101,0.60149,0.23969583,0.60577,0.23885217
27,4.582053753967285,0.24994,4.155363,4.731877689971924,0.24042,4.3053384,0.60149,0.23969576,0.60577,0.23885237
28,4.573452588043213,0.25103,4.1450615,4.70838987915039,0.24354,4.28087,0.60149,0.23969576,0.60577,0.23885243
29,4.565651239624024,0.25125,4.1370077,4.721441039276123,0.2433,4.2925806,0.60149,0.23969583,0.60577,0.23885243
30,4.630058981628418,0.24389,4.204457,4.894037721557617,0.20694,4.4706907,0.60149,0.2396887,0.60301,0.23938544
31,4.6006703358459475,0.24795,4.17542,4.787852171325683,0.21796,4.3605156,0.60149,0.23968858,0.60301,0.23938487
32,4.5909647764587405,0.24947,4.16211,4.82564170425415,0.2176,4.3966837,0.60149,0.2396887,0.60301,0.23938493
33,4.580018566894531,0.25025,4.150959,5.124910947113037,0.19049,4.696301,0.60149,0.23968871,0.60301,0.2393849
34,4.574165561523437,0.25091,4.143805,5.011695336914062,0.20104,4.5811276,0.60149,0.23968892,0.60301,0.23938474
35,4.632785631561279,0.2441,4.207717,4.673842153472901,0.2355,4.250241,0.60149,0.23970321,0.60274,0.23945977
36,4.604831826324463,0.24773,4.181171,4.751601175994873,0.22886,4.326154,0.60149,0.23970358,0.60274,0.23946366
37,4.59383594833374,0.24899,4.1692214,4.747086481323242,0.22475,4.3218803,0.60149,0.23970282,0.60274,0.23946366
38,4.583834617767334,0.24898,4.158851,4.807113566741943,0.21912,4.382139,0.60149,0.23970252,0.60274,0.23946367
39,4.577100116729737,0.24953,4.1506233,4.744992406616211,0.23136,4.318355,0.60149,0.23970266,0.60274,0.23946367
40,4.630486615905761,0.24637,4.207952,4.723455926818848,0.23813,4.3033004,0.60149,0.23968293,0.60505,0.23894773
41,4.603669044036865,0.24943,4.1815686,4.782160075836182,0.22849,4.357136,0.60149,0.2396829,0.60505,0.23894417
42,4.593027279052734,0.25014,4.169083,4.782762041015625,0.23445,4.356723,0.60149,0.23968305,0.60505,0.23894405
43,4.582822196807862,0.25137,4.1572533,4.805617589416504,0.23012,4.3777857,0.60149,0.2396831,0.60505,0.23894382
44,4.575639661254883,0.25189,4.1498528,4.748110104217529,0.24145,4.3219256,0.60149,0.2396831,0.60505,0.23894393
45,4.622105190582276,0.24582,4.198419,4.697208504333496,0.24525,4.2704186,0.60149,0.23969021,0.60341,0.2393455
46,4.596152141265869,0.248,4.1722436,4.663205060729981,0.24348,4.235226,0.60149,0.23969111,0.60341,0.23934534
47,4.583771312866211,0.25104,4.158374,4.700143780822754,0.24131,4.2749853,0.60149,0.239691,0.60341,0.23934527
48,4.574112432556152,0.25181,4.1477222,4.650667449951172,0.23902,4.223285,0.60149,0.23969123,0.60341,0.23934503
49,4.566977509307861,0.25238,4.138751,4.68022926147461,0.24102,4.2518573,0.60149,0.23969147,0.60341,0.23934484
