epoch,loss,policy_acc,policy_loss,val_loss,val_policy_acc,val_policy_loss,val_value_acc,val_value_loss,value_acc,value_loss
0,6.512148203582764,0.0057,5.7273097,6.238277062225341,0.00292,5.924613,0.60149,0.23967081,0.59167,0.24534501
1,5.99451453704834,0.00669,5.68104,5.9620376522827145,0.00681,5.6714354,0.60149,0.2396921,0.60062,0.23990904
2,5.952425460510254,0.00679,5.671946,5.9431341853332516,0.00695,5.660267,0.60149,0.23970354,0.60062,0.23987626
3,5.9590667230224605,0.00707,5.6666636,6.199482792205811,0.00301,5.93451,0.60149,0.23970473,0.60062,0.23986904
4,5.98898427734375,0.00736,5.663024,6.182593714752198,0.00294,5.910692,0.60149,0.2397055,0.60062,0.23986974
5,5.9309482501220705,0.00789,5.6584754,5.971725265045166,0.00778,5.7025476,0.60149,0.23974434,0.60043,0.23993833
6,5.924411291046143,0.00792,5.653456,6.180569311981201,0.00285,5.914287,0.60149,0.2397449,0.60043,0.23993939
7,5.922873803253174,0.00812,5.6494584,6.59774789352417,0.00679,6.27925,0.60149,0.23974487,0.60043,0.23993939
8,5.947666777191162,0.00798,5.645257,6.055512682952881,0.00424,5.773077,0.60149,0.23974484,0.60043,0.23993936
9,5.807938631439209,0.01229,5.501261,5.717091610107422,0.02108,5.3882422,0.60149,0.23974463,0.60043,0.23993942
10,5.412961530456543,0.03053,5.0588355,5.705546003417969,0.02102,5.344658,0.60149,0.23970146,0.60593,0.23880464
11,5.298866663513183,0.03721,4.94364,5.396319211578369,0.03363,5.0463104,0.60149,0.23970143,0.60593,0.23880377
12,5.240437496185303,0.04003,4.8932505,5.374308247833252,0.02936,5.027451,0.60149,0.23970126,0.60593,0.23880354
13,5.202691323699951,0.0424,4.8604636,6.195844738159179,0.02192,5.843812,0.60149,0.23970088,0.60593,0.23880337
14,5.1722771566772465,0.04429,4.83365,5.230278374481201,0.03778,4.8943768,0.60149,0.23970099,0.60593,0.2388032
15,5.162444337921142,0.04399,4.8272657,5.182929784240723,0.04197,4.848594,0.60149,0.23975833,0.60316,0.2393701
16,5.133340661468506,0.04593,4.799935,5.173636718139648,0.04197,4.8405366,0.60149,0.23975658,0.60316,0.23936765
17,5.113297789001465,0.04778,4.7805285,5.124385099639893,0.04451,4.7931128,0.60149,0.23975608,0.60316,0.23936735
18,5.097491518096924,0.04915,4.763905,5.120491521911621,0.04893,4.789879,0.60149,0.2397539,0.60316,0.23939733
19,5.07999097442627,0.05046,4.748806,5.157293297271728,0.04558,4.8280163,0.60149,0.23975357,0.60316,0.23936678
0,5.085995199127197,0.04962,4.756093,5.173889837188721,0.0541,4.8457665,0.60149,0.23968439,0.60151,0.23972045
1,5.06362948059082,0.05135,4.734151,5.1962435125732425,0.05123,4.8676157,0.60149,0.23968436,0.60151,0.23971824
2,5.0488563125610355,0.05366,4.7191534,5.121622066955567,0.05231,4.7926574,0.60149,0.23968416,0.60151,0.23971817
3,5.034410511016846,0.05441,4.705555,5.140592982330323,0.05211,4.812602,0.60149,0.2396841,0.60151,0.2397181
4,5.023897291412354,0.05603,4.695218,5.142439069213867,0.05235,4.813822,0.60149,0.23968412,0.60151,0.23971792
5,5.038299160461426,0.05373,4.7120132,5.142481967468262,0.05531,4.817239,0.60149,0.23969463,0.60366,0.23929028
6,5.019775277862549,0.0558,4.6933765,5.0641769718933105,0.05573,4.7383413,0.60149,0.23969421,0.60366,0.23928979
7,5.006726326751709,0.05765,4.6807833,5.121543984985352,0.05976,4.7955585,0.60149,0.23969422,0.60366,0.23928986
8,4.997221945800781,0.05895,4.6713424,5.08027123840332,0.0576,4.753699,0.60149,0.23969427,0.60366,0.23928986
9,4.988587387390137,0.0593,4.6630397,5.0995588986206055,0.05191,4.7728896,0.60149,0.23969418,0.60366,0.2392897
10,5.009483039703369,0.05745,4.683388,5.047305582580567,0.04981,4.7227774,0.60149,0.23968388,0.60381,0.23924667
11,4.991487552642822,0.05913,4.6671944,5.119394370880127,0.04605,4.7958856,0.60149,0.2397061,0.60381,0.2392442
12,4.982438307647705,0.05973,4.6578794,5.09613900970459,0.04667,4.773326,0.60149,0.23970613,0.60381,0.2392414
13,4.9743290484619145,0.06117,4.6500483,5.0342658451843265,0.04939,4.712099,0.60149,0.23970607,0.60381,0.23924124
14,4.9665799240112305,0.06175,4.642617,5.037571882629394,0.05246,4.7145658,0.60149,0.23970564,0.60381,0.23924115
15,4.987126018218994,0.06042,4.6643257,5.007103491210938,0.06009,4.685419,0.60149,0.2396857,0.60118,0.23977092
16,4.972425188598633,0.06206,4.6504135,5.073424664764405,0.06082,4.7509255,0.60149,0.23968558,0.60118,0.2397688
17,4.962841385345459,0.06405,4.6400394,5.05542839477539,0.06237,4.733007,0.60149,0.23968568,0.60118,0.23976874
18,4.954258207092285,0.06576,4.631797,5.042639359893799,0.06505,4.7205305,0.60149,0.23968619,0.60118,0.23976871
19,4.9483007490539554,0.06632,4.625525,5.0223991336059575,0.06478,4.6991897,0.60149,0.23968652,0.60118,0.2397683
0,4.957319879150391,0.06495,4.6359706,5.002836366882324,0.06169,4.6821938,0.60149,0.2396896,0.60209,0.23961331
1,4.941527227172852,0.06749,4.6204996,5.005068129272461,0.06706,4.6842966,0.60149,0.2396896,0.60209,0.23961419
2,4.933146496887207,0.06924,4.611576,5.054437012329101,0.06104,4.733223,0.60149,0.23968992,0.60209,0.23961395
3,4.925844089050293,0.07045,4.603943,4.999081873016357,0.06825,4.6775365,0.60149,0.23969002,0.60209,0.23961367
4,4.91916143585205,0.07152,4.5969515,5.000680919036865,0.06872,4.6783504,0.60149,0.23968999,0.60209,0.23961347
5,4.949943751983643,0.06944,4.6285796,4.956238200836181,0.06674,4.635299,0.60149,0.23974825,0.60456,0.23911192
6,4.9344872175598145,0.07044,4.613766,4.982565304870605,0.06605,4.6614823,0.60149,0.23974754,0.60456,0.23910458
7,4.926974493103027,0.07204,4.6060038,4.9474030085754395,0.06725,4.6251116,0.60149,0.23974691,0.60456,0.23910408
8,4.919995141754151,0.07271,4.598229,4.9408118127441405,0.06852,4.61939,0.60149,0.23974645,0.60456,0.23910409
9,4.914465117492676,0.07388,4.592275,4.948123248901367,0.06902,4.6247754,0.60149,0.23974624,0.60456,0.2391039
10,4.942598348846436,0.06944,4.621687,5.002848787078857,0.07011,4.683182,0.60149,0.23968756,0.60289,0.23943429
11,4.929364579772949,0.07148,4.6084814,4.979820962219239,0.06985,4.658788,0.60149,0.23968752,0.60289,0.23943642
12,4.9209708143615725,0.07321,4.599951,5.0275986535644535,0.06492,4.706846,0.60149,0.23968753,0.60289,0.23943642
13,4.915811535644531,0.07464,4.5937324,4.986732845611573,0.06789,4.6641173,0.60149,0.23968759,0.60289,0.23943618
14,4.910609560699463,0.07537,4.5887203,5.001272719726562,0.06839,4.6786942,0.60149,0.23968728,0.60289,0.23943588
15,4.9370716581726075,0.07127,4.617321,4.997179871063232,0.0731,4.67786,0.60149,0.23968756,0.60292,0.23941208
16,4.9229047561645505,0.07361,4.6038027,5.013888567810058,0.06949,4.693813,0.60149,0.23968756,0.60292,0.23941392
17,4.914677807464599,0.07425,4.5949745,5.032902068939209,0.06983,4.713046,0.60149,0.23968756,0.60292,0.23941374
18,4.908695789794922,0.07542,4.588462,5.043362944793701,0.06701,4.723567,0.60149,0.23968756,0.60292,0.23941341
19,4.9033817095947265,0.07698,4.582833,4.982737210998535,0.07331,4.6627564,0.60149,0.23968756,0.60292,0.23941316
